Inventory ID,InventoryDetailsID,OrderID,ProductID,DateTime,Amount
153,184,,14,2026-08-28,3
154,185,,16,2026-08-28,-3
155,186,,16,2026-08-28,3
156,187,,1,2026-08-28,-7
157,188,,1,2026-08-28,7
158,189,,3,2026-08-28,-6
159,190,,3,2026-08-28,6
160,191,,5,2026-08-28,-6
161,192,,5,2026-08-28,6
162,193,Ord-2171,1,2026-08-28,-1
163,194,Ord-2171,2,2026-08-28,-1
164,195,Ord-2170,1,2026-08-28,-2
165,196,Ord-2171,1,2026-08-28,-6
166,197,,5,2026-08-28,-4
167,198,,5,2026-08-28,4
168,199,,8,2026-08-28,-1
169,200,,2,2026-08-28,1
169,201,,4,2026-08-28,-1
170,202,Ord-2172,1,2026-08-28,-1
171,203,Ord-2172,4,2026-08-28,-1
172,204,Ord-2173,1,2026-08-28,-3
173,205,Ord-2174,1,2026-08-28,-1
174,206,Ord-2174,3,2026-08-28,-1
175,207,Ord-2175,1,2026-08-28,-2
176,208,Ord-2176,1,2026-08-29,-1
177,209,Ord-2177,3,2026-08-29,-1
178,210,Ord-2177,2,2026-08-29,-1
179,211,Ord-2178,1,2026-08-29,-1
180,212,Ord-2178,5,2026-08-29,-2
181,213,Ord-2178,8,2026-08-29,-2
182,214,Ord-2178,7,2026-08-29,-1
183,215,Ord-2179,1,2026-08-29,-3
184,216,,1,2026-08-29,-6
185,217,,1,2026-08-29,6
186,218,Ord-2180,1,2026-08-29,-3
187,219,Ord-2181,1,2026-08-29,-1
188,220,Ord-2181,4,2026-08-29,-1
189,221,Ord-2182,1,2026-08-29,-1
190,222,Ord-2183,1,2026-08-29,-2
191,223,Ord-2184,1,2026-08-29,-1
192,224,Ord-2184,4,2026-08-29,-1
193,225,Ord-2185,1,2026-08-29,-1
194,226,Ord-2186,1,2026-08-29,-1
195,227,Ord-2187,1,2026-08-29,-1
196,228,Ord-2187,2,2026-08-29,-1
197,229,Ord-2188,19,2026-08-29,-8
198,230,Ord-2188,20,2026-08-29,-2
199,231,Ord-2188,21,2026-08-29,-6
200,232,Ord-2188,22,2026-08-29,-4
201,233,,1,2026-08-30,-1
202,234,,1,2026-08-30,1
203,235,,1,2026-08-31,-8
204,236,,1,2026-08-31,8
205,237,Ord-2189,8,2026-08-31,-4
206,238,Ord-2189,5,2026-08-31,-1
207,239,Ord-2190,1,2026-08-31,-2
208,240,Ord-2191,1,2026-08-31,-1
209,241,Ord-2192,14,2026-08-31,-1
210,242,Ord-2192,17,2026-08-31,-1
211,243,Ord-2193,1,2026-08-31,-3
212,244,,1,2026-09-01,10
212,245,,8,2026-09-01,7
213,246,,1,2026-09-01,12
213,247,,2,2026-09-01,4
213,248,,4,2026-09-01,4
213,249,,8,2026-09-01,6
214,250,Ord-2194,1,2026-09-01,-1
215,251,Ord-2195,1,2026-09-01,-2
216,252,Ord-2195,4,2026-09-01,-2
217,253,Ord-2195,7,2026-09-01,-4
218,254,,1,2026-09-01,-10
219,255,,1,2026-09-01,10
220,256,,8,2026-09-01,-4
221,257,,8,2026-09-01,4
222,258,,2,2026-09-01,-4
223,259,,2,2026-09-01,4
224,260,,4,2026-09-01,-4
225,261,,4,2026-09-01,4
226,262,Ord-2196,8,2026-09-01,-1
227,263,Ord-2196,8,2026-09-01,-1
229,265,Ord-2197,1,2026-09-01,-3
230,266,Ord-2198,7,2026-09-01,-4
231,267,,19,2026-09-01,10
231,268,,20,2026-09-01,4
231,269,,22,2026-09-01,2
232,270,,8,2026-09-01,-3
233,271,,8,2026-09-01,3
234,272,,3,2026-09-01,-1
235,273,,4,2026-09-01,-1
236,274,,15,2026-09-01,-1
237,275,,8,2026-09-01,-3
238,276,,8,2026-09-01,3
239,277,,1,2026-09-02,-2
240,278,,1,2026-09-02,-1
241,279,,1,2026-09-02,-2
242,280,,1,2026-09-02,2
243,281,Ord-2199,1,2026-09-02,-2
244,282,Ord-2200,7,2026-09-02,-2
245,283,Ord-2201,6,2026-09-02,-1
246,284,,21,2026-09-02,10
212,285,,14,2026-09-02,5
247,286,,22,2026-09-02,3
247,287,,20,2026-09-02,1
248,288,,1,2026-09-02,-4
249,289,,1,2026-09-02,4
250,290,,1,2026-09-02,-6
251,291,,1,2026-09-02,6
252,292,Ord-2202,1,2026-09-02,-2
253,293,Ord-2203,5,2026-09-02,-1
254,294,Ord-2203,8,2026-09-02,-1
255,295,Ord-2203,7,2026-09-02,-1
256,296,Ord-2204,1,2026-09-02,-1
257,297,Ord-2204,5,2026-09-02,-2
258,298,,8,2026-09-02,-1
259,299,,8,2026-09-02,1
260,300,,8,2026-09-02,-4
261,301,,8,2026-09-02,4
262,302,,8,2026-09-02,-2
263,303,,8,2026-09-02,2
264,304,,14,2026-09-02,1
265,305,,3,2026-09-02,-1
266,306,,14,2026-09-02,-2
266,307,,16,2026-09-02,3
267,308,,16,2026-09-02,-6
268,309,,14,2026-09-02,-3
269,310,,14,2026-09-02,3
270,311,,14,2026-09-02,-2
271,312,,14,2026-09-02,2
272,313,,16,2026-09-02,-1
273,314,,16,2026-09-02,-1
274,315,,3,2026-09-03,1
275,316,,2,2026-09-03,1
247,317,,17,2026-09-03,5
247,318,,15,2026-09-03,6
247,319,,1,2026-09-03,1
276,320,,16,2026-09-03,1
277,321,,3,2026-09-03,-1
278,322,,1,2026-09-03,-1
279,323,,1,2026-09-03,1
280,324,Ord-2205,1,2026-09-03,-1
281,325,Ord-2206,1,2026-09-03,-1
282,326,Ord-2207,1,2026-09-03,-1
283,327,Ord-2207,4,2026-09-03,-1
284,328,Ord-2207,3,2026-09-03,-1
285,329,Ord-2208,5,2026-09-03,-1
286,330,,15,2026-09-03,-2
287,331,,15,2026-09-03,2
288,332,,17,2026-09-03,-2
289,333,,17,2026-09-03,2
290,334,,14,2026-09-03,-1
291,335,,1,2026-09-04,-3
292,336,,1,2026-09-04,3
293,337,,7,2026-09-04,-4
294,338,,7,2026-09-04,4
295,339,,4,2026-09-04,-5
296,340,,4,2026-09-04,5
297,341,,1,2026-09-04,
297,342,,1,2026-09-04,16
297,343,,7,2026-09-04,11
298,344,,1,2026-09-04,1
298,345,,15,2026-09-04,6
298,346,,17,2026-09-04,5
298,347,,20,2026-09-04,1
298,348,,21,2026-09-04,10
298,349,,22,2026-09-04,3
299,350,,1,2026-09-04,20
299,351,,3,2026-09-04,4
300,352,Ord-2209,1,2026-09-04,-1
301,353,Ord-2209,4,2026-09-04,-1
,,,,,
303,355,Ord-2211,1,2026-09-04,-6
304,356,Ord-2212,14,2026-09-04,-1
305,357,Ord-2212,15,2026-09-04,-1
306,358,Ord-2212,16,2026-09-04,-1
307,359,Ord-2212,17,2026-09-04,-1
308,360,Ord-2212,6,2026-09-04,-1
309,361,Ord-2212,7,2026-09-04,-1
310,362,,1,2026-09-04,-4
311,363,,1,2026-09-04,4
312,364,,1,2026-09-04,-1
313,365,,1,2026-09-04,-12
314,366,,1,2026-09-04,12
315,367,,7,2026-09-04,-3
316,368,,7,2026-09-04,3
317,369,,17,2026-09-04,-8
317,370,,15,2026-09-04,-10
318,371,,21,2026-09-04,-10
319,372,,20,2026-09-04,-1
319,373,,22,2026-09-04,-3
320,374,,7,2026-09-04,-8
321,375,,7,2026-09-04,8
322,376,Ord-2213,19,2026-09-04,-10
323,377,Ord-2213,22,2026-09-04,-5
324,378,Ord-2213,21,2026-09-04,-10
325,379,Ord-2213,20,2026-09-04,-5
326,380,Ord-2214,1,2026-09-04,-1
327,381,Ord-2215,1,2026-09-04,-3
328,382,Ord-2215,4,2026-09-04,-1
329,383,Ord-2216,1,2026-09-05,-1
330,384,Ord-2216,3,2026-09-05,-1
331,385,Ord-2216,5,2026-09-05,-1
332,386,Ord-2217,1,2026-09-05,-1
333,387,Ord-2218,5,2026-09-05,-2
334,388,Ord-2219,4,2026-09-05,-1
335,389,Ord-2210,5,2026-09-05,-2
336,390,Ord-2210,7,2026-09-05,-1
337,391,Ord-2220,1,2026-09-05,-1
338,392,Ord-2220,4,2026-09-05,-1
339,393,Ord-2220,2,2026-09-05,-1
340,394,Ord-2221,5,2026-09-05,-4
341,395,Ord-2222,1,2026-09-05,-2
342,396,Ord-2223,1,2026-09-05,-1
343,397,,7,2026-09-05,1
344,398,,8,2026-09-05,-1
345,399,,17,2026-09-05,2
345,400,,16,2026-09-05,-1
345,401,,15,2026-09-05,4
346,402,,17,2026-09-05,-2
347,403,,17,2026-09-05,2
348,404,,14,2026-09-05,-1
349,405,,14,2026-09-05,1
350,406,,1,2026-09-05,-14
351,407,,1,2026-09-05,14
352,408,,3,2026-09-05,-4
353,409,,3,2026-09-05,4
354,410,,1,2026-09-06,-6
355,411,,1,2026-09-06,6
356,412,Ord-2224,1,2026-09-06,-2
357,413,Ord-2225,1,2026-09-06,-1
358,414,Ord-2226,1,2026-09-06,-2
359,415,Ord-2227,1,2026-09-06,-1
360,416,Ord-2228,14,2026-09-06,-1
361,417,Ord-2228,15,2026-09-06,-1
362,418,Ord-2229,6,2026-09-06,-3
363,419,Ord-2230,1,2026-09-06,-1
364,420,Ord-2230,16,2026-09-06,-1
365,421,Ord-2231,1,2026-09-06,-1
366,422,Ord-2232,14,2026-09-07,-1
367,423,Ord-2232,17,2026-09-07,-1
368,424,Ord-2232,16,2026-09-07,-1
369,425,Ord-2232,5,2026-09-07,-1
370,426,Ord-2233,1,2026-09-07,-2
371,427,Ord-2233,5,2026-09-07,-2
372,428,Ord-2234,1,2026-09-07,-4
373,429,Ord-2235,1,2026-09-08,-2
374,430,Ord-2236,2,2026-09-08,-1
375,431,Ord-2236,3,2026-09-08,-1
376,432,Ord-2237,1,2026-09-08,-1
377,433,Ord-2237,7,2026-09-08,-1
378,434,,17,2026-09-08,3
379,435,,14,2026-09-08,1
380,436,,1,2026-09-08,8
380,437,,4,2026-09-08,2
380,438,,5,2026-09-08,2
