Inventory ID,DateTime,Address,Column 4
237,2026-09-01,3,
238,2026-09-01,2,
239,2026-09-02,2,Modificacion Manual
240,2026-09-02,1,Modificacion Manual
241,2026-09-02,3,Sistema
242,2026-09-02,2,Sistema
243,2026-09-02,2,Sistema
244,2026-09-02,1,Sistema
245,2026-09-02,1,Sistema
246,2026-09-02,3,Production
247,2026-09-02,3,Production
248,2026-09-02,3,Sistema
249,2026-09-02,2,Sistema
250,2026-09-02,3,Sistema
251,2026-09-02,1,Sistema
252,2026-09-02,1,Sistema
253,2026-09-02,2,Sistema
254,2026-09-02,2,Sistema
255,2026-09-02,2,Sistema
256,2026-09-02,1,Sistema
257,2026-09-02,1,Sistema
258,2026-09-02,3,Sistema
259,2026-09-02,2,Sistema
260,2026-09-02,3,Sistema
261,2026-09-02,1,Sistema
262,2026-09-02,3,Sistema
263,2026-09-02,2,Sistema
264,2026-09-02,1,Sistema
265,2026-09-02,2,Sistema
266,2026-09-02,1,Sistema
267,2026-09-02,1,Modificacion Manual
268,2026-09-02,3,Sistema
269,2026-09-02,1,Sistema
270,2026-09-02,3,Sistema
271,2026-09-02,2,Sistema
272,2026-09-02,3,Sistema
273,2026-09-02,2,Modificacion Manual
274,2026-09-03,3,Modificacion Manual
275,2026-09-03,2,Modificacion Manual
276,2026-09-03,3,Modificacion Manual
277,2026-09-03,3,Modificacion Manual
278,2026-09-03,3,Sistema
279,2026-09-03,1,Sistema
280,2026-09-03,1,Sistema
281,2026-09-03,2,Sistema
282,2026-09-03,1,Sistema
283,2026-09-03,1,Sistema
284,2026-09-03,1,Sistema
285,2026-09-03,1,Sistema
286,2026-09-03,3,Sistema
287,2026-09-03,2,Sistema
288,2026-09-03,3,Sistema
289,2026-09-03,2,Sistema
290,2026-09-03,2,Modificacion Manual
291,2026-09-04,2,Sistema
292,2026-09-04,1,Sistema
293,2026-09-04,2,Sistema
294,2026-09-04,1,Sistema
295,2026-09-04,2,Sistema
296,2026-09-04,1,Sistema
297,2026-09-04,3,Production
298,2026-09-04,3,Production
299,2026-09-04,3,Production
300,2026-09-04,1,Sistema
301,2026-09-04,1,Sistema
,,,
303,2026-09-04,1,Sistema
304,2026-09-04,1,Sistema
305,2026-09-04,1,Sistema
306,2026-09-04,1,Sistema
307,2026-09-04,1,Sistema
308,2026-09-04,1,Sistema
309,2026-09-04,1,Sistema
310,2026-09-04,3,Sistema
311,2026-09-04,2,Sistema
312,2026-09-04,3,Modificacion Manual
313,2026-09-04,3,Sistema
314,2026-09-04,1,Sistema
315,2026-09-04,3,Sistema
316,2026-09-04,2,Sistema
317,2026-09-04,3,Modificacion Manual
318,2026-09-04,3,Modificacion Manual
319,2026-09-04,3,Modificacion Manual
320,2026-09-04,3,Sistema
321,2026-09-04,1,Sistema
322,2026-09-04,3,Sistema
323,2026-09-04,3,Sistema
324,2026-09-04,3,Sistema
325,2026-09-04,3,Sistema
326,2026-09-04,1,Sistema
327,2026-09-04,1,Sistema
328,2026-09-04,1,Sistema
329,2026-09-05,1,Sistema
330,2026-09-05,1,Sistema
331,2026-09-05,1,Sistema
332,2026-09-05,1,Sistema
333,2026-09-05,1,Sistema
334,2026-09-05,1,Sistema
335,2026-09-05,1,Sistema
336,2026-09-05,1,Sistema
337,2026-09-05,2,Sistema
338,2026-09-05,2,Sistema
339,2026-09-05,2,Sistema
340,2026-09-05,2,Sistema
341,2026-09-05,2,Sistema
342,2026-09-05,1,Sistema
343,2026-09-05,1,Modificacion Manual
344,2026-09-05,1,Modificacion Manual
345,2026-09-05,1,Modificacion Manual
346,2026-09-05,2,Sistema
347,2026-09-05,1,Sistema
348,2026-09-05,2,Sistema
349,2026-09-05,1,Sistema
350,2026-09-05,3,Sistema
351,2026-09-05,1,Sistema
352,2026-09-05,3,Sistema
353,2026-09-05,1,Sistema
354,2026-09-06,3,Sistema
355,2026-09-06,2,Sistema
356,2026-09-06,2,Sistema
357,2026-09-06,1,Sistema
358,2026-09-06,2,Sistema
359,2026-09-06,2,Sistema
360,2026-09-06,1,Sistema
361,2026-09-06,1,Sistema
362,2026-09-06,1,Sistema
363,2026-09-06,2,Sistema
364,2026-09-06,2,Sistema
365,2026-09-06,1,Sistema
366,2026-09-07,2,Sistema
367,2026-09-07,2,Sistema
368,2026-09-07,2,Sistema
369,2026-09-07,2,Sistema
370,2026-09-07,1,Sistema
371,2026-09-07,1,Sistema
372,2026-09-07,1,Sistema
373,2026-09-08,1,Sistema
374,2026-09-08,1,Sistema
375,2026-09-08,1,Sistema
376,2026-09-08,1,Sistema
377,2026-09-08,1,Sistema
378,2026-09-08,2,Modificacion Manual
379,2026-09-08,2,Modificacion Manual
380,2026-09-08,4,Production
